,Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
5,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,4612620,1031031,CWC,NDA,5643651
6,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,4866813,1100490,CWC,NDA,5967303
7,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2018,JCPL,58693247,30611468,605543,753090,90663348,NJNG,5596974,1277890,CWC,NDA,6874864
8,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2019,JCPL,57669637,30280678,680672,754056,89385043,NJNG,5322271,1235871,CWC,NDA,6558142
9,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2020,JCPL,59539032,27512671,812017,754056,88617776,NJNG,4952832,1062107,CWC,NDA,6014939
10,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2021,JCPL,61144726,27735631,837496,754056,90471909,NJNG,5163106,1188122,CWC,NDA,6351228
11,Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2022,JCPL,60787253,28622655,850328,NDA,90260236,NJNG,5134256,1221678,CWC,NDA,6355934
12,Absecon City,Atlantic,Absecon City Atlantic,2016,ACE,35064773,33972514,NDA,472165,69509452,SJG,4656257,2821349,NDA,NDA,7477606
13,Absecon City,Atlantic,Absecon City Atlantic,2017,ACE,32920965,33410425,NDA,497739,66829129,SJG,4643213,2820496,NDA,NDA,7463709
14,Absecon City,Atlantic,Absecon City Atlantic,2018,ACE,35642558,32764562,NDA,501692,68908812,SJG,5604410,3169387,NDA,NDA,8773797
15,Absecon City,Atlantic,Absecon City Atlantic,2019,ACE,34315354,31774466,NDA,512358,66602178,SJG,5247304,2794357,NDA,NDA,8041662
16,Absecon City,Atlantic,Absecon City Atlantic,2020,ACE,34737469,27957231,NDA,510447,63205147,SJG,4933824,2251024,NDA,NDA,7184847
17,Absecon City,Atlantic,Absecon City Atlantic,2021,ACE,34951610,29448480,NDA,509508,64909598,SJG,5071054,2512115,NDA,NDA,7583170
18,Absecon City,Atlantic,Absecon City Atlantic,2022,ACE,34457582,29574442,NDA,512332,64544356,SJG,5347248,2610608,NDA,NDA,7957856
19,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA
20,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA
21,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2018,JCPL,24194813,5109776,28640,24588,29357817,NDA,NDA,NDA,NDA,NDA,NDA
22,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2019,JCPL,23397455,5104664,13400,24588,28540107,NDA,NDA,NDA,NDA,NDA,NDA
23,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2020,JCPL,24097340,4408735,18400,24588,28549063,NDA,NDA,NDA,NDA,NDA,NDA
24,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2021,JCPL,24574772,4641731,62080,24588,29303171,NDA,NDA,NDA,NDA,NDA,NDA
25,Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2022,JCPL,24376356,4749070,148200,NDA,29273626,NDA,NDA,NDA,NDA,NDA,NDA
26,Allamuchy Twp,Warren,Allamuchy Twp Warren,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG,1453969,50358,NDA,NDA,1504327
27,Allamuchy Twp,Warren,Allamuchy Twp Warren,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG,1573053,56360,NDA,NDA,1629413
