,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
826,1990,NJ,Total Electric Power Industry,Total,39968834
827,1990,NJ,Total Electric Power Industry,Coal,7057820
828,1990,NJ,Total Electric Power Industry,Hydroelectric Conventional,31351
829,1990,NJ,Total Electric Power Industry,Natural Gas,6914325
830,1990,NJ,Total Electric Power Industry,Nuclear,23770387
831,1990,NJ,Total Electric Power Industry,Other Biomass,246058
832,1990,NJ,Total Electric Power Industry,Petroleum,2094969
833,1990,NJ,Total Electric Power Industry,Pumped Storage,-149547
834,1990,NJ,Total Electric Power Industry,Wood and Wood Derived Fuels,3471
835,1990,NJ,"Electric Generators, Independent Power Producers",Total,252556
836,1990,NJ,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,31351
837,1990,NJ,"Electric Generators, Independent Power Producers",Natural Gas,9325
838,1990,NJ,"Electric Generators, Independent Power Producers",Other Biomass,211428
839,1990,NJ,"Electric Generators, Independent Power Producers",Petroleum,452
840,1990,NJ,"Electric Generators, Electric Utilities",Total,36488596
841,1990,NJ,"Electric Generators, Electric Utilities",Coal,7057820
842,1990,NJ,"Electric Generators, Electric Utilities",Natural Gas,3978001
843,1990,NJ,"Electric Generators, Electric Utilities",Nuclear,23770387
844,1990,NJ,"Electric Generators, Electric Utilities",Petroleum,1831935
845,1990,NJ,"Electric Generators, Electric Utilities",Pumped Storage,-149547
846,1990,NJ,"Combined Heat and Power, Industrial Power",Total,948061
847,1990,NJ,"Combined Heat and Power, Industrial Power",Natural Gas,728331
848,1990,NJ,"Combined Heat and Power, Industrial Power",Petroleum,216259
849,1990,NJ,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3471
850,1990,NJ,"Combined Heat and Power, Electric Power",Total,2201872
851,1990,NJ,"Combined Heat and Power, Electric Power",Natural Gas,2124263
852,1990,NJ,"Combined Heat and Power, Electric Power",Other Biomass,32650
853,1990,NJ,"Combined Heat and Power, Electric Power",Petroleum,44959
854,1990,NJ,"Combined Heat and Power, Commercial Power",Total,77749
855,1990,NJ,"Combined Heat and Power, Commercial Power",Natural Gas,74405
856,1990,NJ,"Combined Heat and Power, Commercial Power",Other Biomass,1980
857,1990,NJ,"Combined Heat and Power, Commercial Power",Petroleum,1364
2281,1991,NJ,Total Electric Power Industry,Total,43526466
2282,1991,NJ,Total Electric Power Industry,Coal,5237132
2283,1991,NJ,Total Electric Power Industry,Hydroelectric Conventional,21598
2284,1991,NJ,Total Electric Power Industry,Natural Gas,10592907
2285,1991,NJ,Total Electric Power Industry,Nuclear,24806606
2286,1991,NJ,Total Electric Power Industry,Other Biomass,804765
2287,1991,NJ,Total Electric Power Industry,Other Gases,67544
2288,1991,NJ,Total Electric Power Industry,Petroleum,2151098
2289,1991,NJ,Total Electric Power Industry,Pumped Storage,-155184
2290,1991,NJ,"Electric Generators, Independent Power Producers",Total,716432
2291,1991,NJ,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,21598
2292,1991,NJ,"Electric Generators, Independent Power Producers",Natural Gas,404995
2293,1991,NJ,"Electric Generators, Independent Power Producers",Other Biomass,286714
2294,1991,NJ,"Electric Generators, Independent Power Producers",Petroleum,3125
2295,1991,NJ,"Electric Generators, Electric Utilities",Total,37028965
2296,1991,NJ,"Electric Generators, Electric Utilities",Coal,5237132
2297,1991,NJ,"Electric Generators, Electric Utilities",Natural Gas,5341636
2298,1991,NJ,"Electric Generators, Electric Utilities",Nuclear,24806606
2299,1991,NJ,"Electric Generators, Electric Utilities",Petroleum,1798775
2300,1991,NJ,"Electric Generators, Electric Utilities",Pumped Storage,-155184
2301,1991,NJ,"Combined Heat and Power, Industrial Power",Total,1883351
2302,1991,NJ,"Combined Heat and Power, Industrial Power",Natural Gas,1486622
2303,1991,NJ,"Combined Heat and Power, Industrial Power",Other Gases,67544
2304,1991,NJ,"Combined Heat and Power, Industrial Power",Petroleum,329185
2305,1991,NJ,"Combined Heat and Power, Electric Power",Total,3823827
2306,1991,NJ,"Combined Heat and Power, Electric Power",Natural Gas,3288173
