Auction, Date, Quantity Offered, CCR Sold, Quantity Sold, Clearing Price, Total Proceeds
Auction 65, 2024-09-04, 15943608, 0, 15943608, 25.75, 410547906.00
Auction 64, 2024-06-05, 16053188, 0, 16053188, 21.03, 337598543.64
Auction 63, 2024-03-13, 15855879, 8416278, 24272157, 16.00, 388354512.00
Auction 62, 2023-12-06, 22090709, 5565291, 27656000, 14.88, 411521280.00
Auction 61, 2023-09-06, 21948358, 0, 21948358, 13.85, 303984758.30
Auction 60, 2023-06-07, 22026639, 0, 22026639, 12.73, 280399114.47
Auction 59, 2023-03-08, 21522877, 0, 21522877, 12.50, 269035962.50
Auction 58, 2022-12-07, 22233203, 0, 22233203, 12.99, 288809306.97
Auction 57, 2022-09-07, 22404023, 0, 22404023, 13.45, 301334109.35
Auction 56, 2022-06-01, 22280473, 0, 22280473, 13.90, 309698574.70
Auction 55, 2022-03-09, 21761269, 0, 21761269, 13.50, 293777131.50
Auction 54, 2021-12-01, 23121518, 3919482, 27041000, 13.00, 351533000
Auction 53, 2021-09-08, 22911423, 0, 22911423, 9.30, 213076233.90
Auction 52, 2021-06-02, 22987719, 0, 22987719, 7.97,  183212120.43
Auction 51, 2021-03-03, 23467261, 0, 23467261, 7.60,  178351183.60
Auction 50, 2020-12-02, 16237495, 0, 16237495, 7.41, 120319837.95
Auction 49, 2020-09-02, 16192785, 0, 16192785, 6.82, 110434793.70
Auction 48, 2020-06-03, 16336298, 0, 16336298, 5.75, 93933713.50
Auction 47, 2020-03-11, 16208347, 0, 16208347, 5.65, 91577160.55
Auction 46, 2019-12-04, 13116444, 0, 13116444, 5.61, 73583250.84
Auction 45, 2019-09-04, 13116447, 0, 13116447, 5.20, 68205524.40
Auction 44, 2019-06-05, 13221453, 0, 13221453, 5.62, 74304565.86
Auction 43, 2019-03-13, 12883436, 0, 12883436, 5.27, 67895707.72
Auction 42, 2018-12-05, 13360649, 0, 13360649, 5.35, 71479472.15
Auction 41, 2018-09-05, 13590107, 0, 13590107, 4.50, 61155481.50
Auction 40, 2018-06-13, 13771025, 0, 13771025, 4.02, 55359520.50
Auction 39, 2018-03-14, 13553767, 0, 13553767, 3.79, 51368776.93
Auction 38, 2017-12-06, 14687989, 0, 14687989, 3.80, 55814358.20
Auction 37, 2017-09-06, 14371585, 0, 14371585, 4.35, 62516394.75
Auction 36, 2017-06-07, 14597470, 0, 14597470, 2.53, 36931599.10
Auction 35, 2017-03-08, 14371300, 0, 14371300, 3.00, 43113900.00
Auction 34, 2016-12-07, 14791315, 0, 14791315, 3.55, 52509168.25
Auction 33, 2016-09-07, 14911315, 0, 14911315, 4.54, 67697370.10
Auction 32, 2016-06-01, 15089652, 0, 15089652, 4.53, 68356123.56
Auction 31, 2016-03-09, 14838732, 0, 14838732, 5.25, 77903343.00
Auction 30, 2015-12-02, 15374274, 0, 15374274, 7.50, 115307055.00
Auction 29, 2015-09-09, 15374294, 10000000, 25374294, 6.02, 152753249.88
Auction 28, 2015-06-03, 15507571, 0, 15507571, 5.50, 85291640.50
Auction 27, 2015-03-11, 15272670, 0, 15272670, 5.41, 82625144.70
Auction 26, 2014-12-03, 18198685, 0, 18198685, 5.21, 94815148.85
Auction 25, 2014-09-03, 17998687, 0, 17998687, 4.88, 87833592.56
Auction 24, 2014-06-04, 18062384, 0, 18062384, 5.02, 90673167.68
Auction 23, 2014-03-05, 18491350, 5000000, 23491350, 4.00, 93965400.00
Auction 22, 2013-12-04, 38329378, , 38329378, 3.00, 114988134.00
Auction 21, 2013-09-04, 38409043, , 38409043, 2.67, 102552144.81
Auction 20, 2013-06-05, 38782076, , 38782076, 3.21, 124490463.96
Auction 19, 2013-03-13, 37835405, , 37835405, 2.80, 105939134.00
Auction 18, 2012-12-05, 37563083, , 19774000, 1.93, 38163820.00
Auction 17, 2012-09-05, 37949558, , 24589000, 1.93, 47456770.00
Auction 16, 2012-06-06, 36426008, , 20941000, 1.93, 40416130.00
Auction 15, 2012-03-14, 34843858, , 21559000, 1.93, 41608870.00
Auction 14, 2011-12-07, 42983482, , 27293000, 1.89, 51583770.00
Auction 14 (Future), 2011-12-07, 1864951, , 0, , 
Auction 13, 2011-09-07, 42189685, , 7487000, 1.89, 14150430.00
Auction 13 (Future), 2011-09-07, 1864951, , 0, , 
Auction 12, 2011-06-08, 42034184, , 12537000, 1.89, 25477200.00
Auction 12 (Future), 2011-06-08, 1864952, , 943000, 1.89, 
Auction 11, 2011-03-09, 41995813, , 41995813, 1.89, 83425588.47
Auction 11 (Future), 2011-03-09, 2144710, , 2144710, 1.89, 
Auction 10, 2010-12-01, 43173648, , 24755000, 1.86, 48224220.00
Auction 10 (Future), 2010-12-01, 2137991, , 1172000, 1.86, 
Auction 9, 2010-09-08, 45595968, , 34407000, 1.86, 66437340.00
Auction 9 (Future), 2010-09-08, 2137992, , 1312000, 1.86, 
Auction 8, 2010-06-09, 40685585, , 40685585, 1.88, 80465566.78
Auction 8 (Future), 2010-06-09, 2137993, , 2137993, 1.86, 
Auction 7, 2010-03-10, 40612408, , 40612408, 2.07, 87956944.56
Auction 7 (Future), 2010-03-10, 2137992, , 2091000, 1.86, 
Auction 6, 2009-12-02, 28591698, , 28591698, 2.05, 61587120.90
Auction 6 (Future), 2009-12-02, 2172540, , 1599000, 1.86, 
Auction 5, 2009-09-09, 28408945, , 28408945, 2.19, 66278239.35
Auction 5 (Future), 2009-09-09, 2172540, , 2172540, 1.87, 
Auction 4, 2009-06-17, 30887620, , 30887620, 3.23, 104242445.00
Auction 4 (Future), 2009-06-17, 2172540, , 2172540, 2.06, 
Auction 3, 2009-03-18, 31513765, , 31513765, 3.51, 117248629.80
Auction 3 (Future), 2009-03-18, 2175513, , 2175513, 3.05, 
Auction 2, 2008-12-17, 31505898, , 31505898, 3.38, 106489935.24
Auction 1, 2008-09-25, 12565387, , 12565387, 3.07, 38575738.09
