"CPIAUCNS","Year","MEHOINUSNJA646N","population","percentchange"
"9.8833333333333333",1913,NA,2729000,2.21
"10.0166666666666667",1914,NA,2789000,2.2
"10.1083333333333333",1915,NA,2850000,2.19
"10.8833333333333333",1916,NA,2918000,2.39
"12.8250000000000000",1917,NA,2976000,1.99
"15.0416666666666667",1918,NA,3043000,2.25
"17.3333333333333333",1919,NA,3136000,3.06
"20.0416666666666667",1920,NA,3198000,1.98
"17.8500000000000000",1921,NA,3297000,3.1
"16.7500000000000000",1922,NA,3380000,2.52
"17.0500000000000000",1923,NA,3472000,2.72
"17.1250000000000000",1924,NA,3573000,2.91
"17.5416666666666667",1925,NA,3664000,2.55
"17.7000000000000000",1926,NA,3758000,2.57
"17.3583333333333333",1927,NA,3891000,3.54
"17.1583333333333333",1928,NA,3968000,1.98
"17.1583333333333333",1929,NA,3989000,0.53
"16.7000000000000000",1930,NA,4068000,1.98
"15.2083333333333333",1931,NA,4120000,1.28
"13.6416666666666667",1932,NA,4120000,0
"12.9333333333333333",1933,NA,4107000,-0.32
"13.3833333333333333",1934,NA,4089000,-0.44
"13.7250000000000000",1935,NA,4085000,-0.1
"13.8666666666666667",1936,NA,4084000,-0.02
"14.3833333333333333",1937,NA,4088000,0.1
"14.0916666666666667",1938,NA,4100000,0.29
"13.9083333333333333",1939,NA,4129000,0.71
"14.0083333333333333",1940,NA,4175000,1.11
"14.7250000000000000",1941,NA,4254000,1.89
"16.3333333333333333",1942,NA,4297000,1.01
"17.3083333333333333",1943,NA,4226000,-1.65
"17.5916666666666667",1944,NA,4158000,-1.61
"17.9916666666666667",1945,NA,4108000,-1.2
"19.5166666666666667",1946,NA,4492000,9.35
"22.3250000000000000",1947,NA,4618000,2.8
"24.0416666666666667",1948,NA,4774000,3.38
"23.8083333333333333",1949,NA,4889000,2.41
"24.0666666666666667",1950,NA,4872000,-0.35
"25.9583333333333333",1951,NA,5006000,2.75
"26.5500000000000000",1952,NA,5125000,2.38
"26.7666666666666667",1953,NA,5229000,2.03
"26.8500000000000000",1954,NA,5360000,2.51
"26.7750000000000000",1955,NA,5502000,2.65
"27.1833333333333333",1956,NA,5615000,2.05
"28.0916666666666667",1957,NA,5737000,2.17
"28.8583333333333333",1958,NA,5890000,2.67
"29.1500000000000000",1959,NA,6015000,2.12
"29.5750000000000000",1960,NA,6103000,1.46
"29.8916666666666667",1961,NA,6265000,2.65
"30.2500000000000000",1962,NA,6376000,1.77
"30.6250000000000000",1963,NA,6531000,2.43
"31.0166666666666667",1964,NA,6660000,1.98
"31.5083333333333333",1965,NA,6767000,1.61
"32.4583333333333333",1966,NA,6851000,1.24
"33.3583333333333333",1967,NA,6928000,1.12
"34.7833333333333333",1968,NA,7005000,1.11
"36.6833333333333333",1969,NA,7095000,1.28
"38.8250000000000000",1970,NA,7171112,1.07
"40.4916666666666667",1971,NA,7281107,1.53
"41.8166666666666667",1972,NA,7335042,0.74
"44.4000000000000000",1973,NA,7333083,-0.03
"49.3083333333333333",1974,NA,7332411,-0.01
"53.8166666666666667",1975,NA,7337765,0.07
"56.9083333333333333",1976,NA,7339745,0.03
"60.6083333333333333",1977,NA,7337169,-0.04
"65.2333333333333333",1978,NA,7350804,0.19
"72.5750000000000000",1979,NA,7366512,0.21
"82.4083333333333333",1980,NA,7376330,0.13
"90.9250000000000000",1981,NA,7407472,0.42
"96.5000000000000000",1982,NA,7430968,0.32
"99.6000000000000000",1983,NA,7467785,0.5
"103.8833333333333333",1984,27780,7515473,0.64
"107.5666666666666667",1985,30980,7565528,0.67
"109.6083333333333333",1986,31720,7622159,0.75
"113.6250000000000000",1987,34240,7670742,0.64
"118.2583333333333333",1988,36290,7712333,0.54
"123.9666666666666667",1989,39120,7726089,0.18
"130.6583333333333333",1990,38730,7757158,0.4
"136.1916666666666667",1991,40050,7784269,0.35
"140.3166666666666667",1992,39000,7827770,0.56
"144.4583333333333333",1993,40500,7874891,0.6
"148.2250000000000000",1994,42280,7918796,0.56
"152.3833333333333333",1995,43920,7965523,0.59
"156.8500000000000000",1996,47470,8009624,0.55
"160.5166666666666667",1997,48020,8054178,0.56
"163.0083333333333333",1998,49830,8095542,0.51
"166.5750000000000000",1999,49730,8143412,0.59
"172.2000000000000000",2000,50410,8430621,3.53
"177.0666666666666667",2001,51770,8492671,0.74
"179.8750000000000000",2002,54570,8552643,0.71
"183.9583333333333333",2003,56050,8601402,0.57
"188.8833333333333333",2004,55280,8634561,0.39
"195.2916666666666667",2005,63370,8651974,0.2
"201.5916666666666667",2006,68060,8661679,0.11
"207.3424166666666667",2007,60510,8677885,0.19
"215.3025000000000000",2008,65310,8711090,0.38
"214.5370000000000000",2009,64780,8755602,0.51
"218.0555000000000000",2010,62970,8799451,0.5
"224.9391666666666667",2011,62340,8828552,0.33
"229.5939166666666667",2012,66690,8845671,0.19
"232.9570833333333333",2013,63750,8857821,0.14
"236.7361666666666667",2014,65240,8867277,0.11
"237.0170000000000000",2015,68360,8870312,0.03
"240.0071666666666667",2016,68470,8873584,0.04
"245.1195833333333333",2017,71240,8888147,0.16
"251.1068333333333333",2018,74180,8891730,0.04
"255.6574166666666667",2019,87730,8891258,-0.01
"258.8111666666666667",2020,85550,9272392,4.29
"270.9697500000000000",2021,88560,9269175,-0.03
"292.6549166666666667",2022,92340,9260817,-0.09
"304.7015833333333333",2023,91590,9290841,0.32
".",2024,NA,NA,NA
