,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEARS,COAL PRICES,ENERGY AVG PRICES,MOTOR GASOLINE PRICES,PETROLEUM,NATURAL GAS,RENEWABLES PRODUCTION,TOTAL,NONRENEWABLES,FOSSIL FUEL AVG PRICE,,CLEAN ENERGY AVG PRICE,,,YEARS,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1970,0.45,1.99,2.99,1.45,1.28,"28,760","66,677","37,917",1.5425,,2.579981137,,,COAL PRICES,0.45,0.56,0.65,0.67,1.34,1.58,1.45,1.45,1.56,1.67,1.8,2.06,2.13,1.95,1.95,1.91,1.79,1.75,1.71,1.75,1.78,1.76,1.72,1.75,1.81,1.78,1.75,1.76,1.59,1.45,1.39,2.27,1.87,1.8,2.05,2.18,2.73,2.89,3.33,4.01,4.16,4.18,4.05,3.87,3.95,3.82,3.21,3.17,3.51,3.07,2.82,3.17,5.21
1971,0.56,2.21,3.04,1.6,1.35,"28,804","70,259","41,455",1.6375,,3.033947629,,,ENERGY AVG PRICES,1.99,2.21,2.27,2.5,3.87,4.35,4.41,4.95,5.18,6.4,8.4,9.68,9.67,9.43,9.31,9.62,8.26,8.04,8.17,8.67,9.43,9.35,8.94,9.04,9.08,9.25,9.86,9.82,8.89,9.18,11.13,11.13,10.59,12.17,14.31,16.31,19.02,19.67,23.61,19.11,21.66,24.33,24.4,23.84,23.14,18.96,17.63,19.19,20.12,19.91,18.73,21.82,27.15
1972,0.65,2.27,2.9,1.58,1.46,"31,067","78,075","47,008",1.6475,,3.211915216,,,MOTOR GASOLINE PRICES,2.99,3.04,2.9,3.08,4.55,4.79,4.95,5.23,5.21,7.16,9.94,10.99,10.06,9.01,8.67,8.95,6.89,7.25,7.58,8.48,9.03,8.91,9.04,8.89,8.88,9.27,9.62,9.52,8.1,8.95,11.77,11.07,10.28,12.07,14.35,17.48,20.07,21.31,25.61,18.26,21.89,27.81,28.84,28.02,27.09,19.63,17.74,20.26,22.19,20.93,18.08,24.16,31.68
1973,0.67,2.5,3.08,1.76,1.52,"32,611","71,698","39,087",1.7575,,3.3899481,,,PETROLEUM,1.45,1.6,1.58,1.76,3.03,3.33,3.37,3.64,3.72,5.13,7.24,8.54,8.02,7.5,7.4,7.51,5.6,5.89,5.89,6.44,7.44,7.06,6.93,6.61,6.71,6.85,7.71,7.61,6.52,7.08,9.7,8.99,8.54,10.21,12.15,15.07,17.45,18.16,23.08,16.54,20.84,26.67,27.45,26.76,26.39,18.47,16.21,18.63,20.93,20.07,17.03,22.55,31.16
1974,1.34,3.87,4.55,3.03,1.79,"35,079","76,078","40,999",2.6775,,5.26374861,,,NATURAL GAS,1.28,1.35,1.46,1.52,1.79,2.29,2.69,3.02,3.35,3.71,4.15,5.01,5.87,5.93,6.02,6.18,5.86,5.04,4.97,5.03,4.92,4.71,4.65,4.66,4.72,4.47,5.07,5.24,4.21,4.45,5.77,6.36,5.66,7.69,9.69,10.04,11.77,11.34,12.84,10.11,9.39,8.7,7.3,7.86,7.87,5.97,5.2,6.28,6.49,6.47,6.35,7.64,10.24
1975,1.58,4.35,4.79,3.33,2.29,"32,854","67,499","34,645",2.9975,,5.776230063,,,RENEWABLES PRODUCTION,"28,760","28,804","31,067","32,611","35,079","32,854","36,800","39,684","42,867","45,068","50,354","56,035","50,775","61,926","50,546","51,400","43,547","40,758","43,367","36,567","25,896","35,811","38,434","36,842","41,317","43,128","41,077","39,140","38,653","39,706","40,148","28,837","28,506","26,325","26,835","19,511","21,420","20,010","22,398","32,290","34,835","34,455","35,246","39,754","42,333","32,843","33,453","30,393","31,667","30,656","30,746","31,232","33,259"
1976,1.45,4.41,4.95,3.37,2.69,"36,800","79,387","42,587",3.115,,5.908645788,,,TOTAL,"66,677","70,259","78,075","71,698","76,078","67,499","79,387","114,625","132,240","116,985","133,546","184,811","206,230","130,932","111,371","240,152","199,801","277,764","296,652","280,312","277,434","295,883","264,556","298,730","272,613","219,703","156,903","185,092","323,296","342,452","338,189","347,027","350,805","335,954","309,241","347,114","361,266","355,767","358,898","391,326","377,360","386,113","382,208","388,539","371,866","380,695","346,023","386,341","366,040","308,802","310,053","324,726","328,596"
1977,1.45,4.95,5.23,3.64,3.02,"39,684","114,625","74,941",3.335,,7.999836584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,1.56,5.18,5.21,3.72,3.35,"42,867","132,240","89,373",3.46,,8.766011617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1.67,6.4,7.16,5.13,3.71,"45,068","116,985","71,917",4.4175,,9.563562894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
