DATE,NJNQGSP
2018-01-01,610811.6
2018-04-01,616691.3
2018-07-01,622280.0
2018-10-01,627577.8
2019-01-01,633477.0
2019-04-01,639395.6
2019-07-01,648153.3
2019-10-01,652244.7
2020-01-01,651662.7
2020-04-01,583162.8
2020-07-01,639707.5
2020-10-01,651676.0
2021-01-01,671694.6
2021-04-01,681479.0
2021-07-01,700672.5
2021-10-01,727926.8
2022-01-01,736714.5
2022-04-01,753827.4
2022-07-01,763847.6
2022-10-01,778765.5
2023-01-01,791113.6
2023-04-01,798694.2
2023-07-01,814003.7
2023-10-01,822849.5
2024-01-01,831386.9
2024-04-01,841417.0
